symbol,entry_time,exit_time,direction,entry_price,exit_price,pnl_abs,pnl_pct,reason,size
SOLUSDT,2025-12-07T08:23:59.999000,2025-12-07T08:25:59.999000,LONG,132.05,132.06342857142855,0.013428571428534042,0.00010169308162464249,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-07T08:37:59.999000,2025-12-07T08:37:59.999000,LONG,0.13952,0.13966785714285715,0.00014785714285714402,0.001059755897771961,hit_take_profit_intrabar,1.0
ETHUSDT,2025-12-07T09:22:59.999000,2025-12-07T09:23:59.999000,LONG,3031.47,3032.0248571428574,0.5548571428575997,0.0001830323713767907,hit_stop_loss_intrabar,1.0
SOLUSDT,2025-12-07T10:33:59.999000,2025-12-07T10:39:59.999000,LONG,131.75,131.94767857142858,0.19767857142858247,0.0015004066142586905,hit_take_profit,1.0
DOGEUSDT,2025-12-07T11:07:59.999000,2025-12-07T11:14:59.999000,SHORT,0.13891,0.1388602857142857,4.971428571429182e-05,0.0003578884580972703,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-07T12:15:59.999000,2025-12-07T12:17:59.999000,LONG,0.13919,0.13934910714285714,0.00015910714285713445,0.00114309320250833,hit_take_profit,1.0
DOGEUSDT,2025-12-07T12:20:59.999000,2025-12-07T12:24:59.999000,LONG,0.13917,0.13924857142857142,7.857142857142785e-05,0.0005645715928104323,hit_stop_loss_intrabar,1.0
ETHUSDT,2025-12-07T14:04:59.999000,2025-12-07T14:05:59.999000,LONG,3028.32,3024.852428571429,-3.4675714285713184,-0.0011450478907682538,hit_stop_loss,1.0
DOGEUSDT,2025-12-07T19:04:59.999000,2025-12-07T19:05:59.999000,SHORT,0.14205,0.14178000000000002,0.00026999999999999247,0.0019007391763463037,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-07T19:20:59.999000,2025-12-07T19:23:59.999000,SHORT,0.14165,0.14155,9.999999999998899e-05,0.0007059654076949452,hit_stop_loss,1.0
DOGEUSDT,2025-12-07T19:57:59.999000,2025-12-07T20:00:59.999000,LONG,0.14203,0.14214657142857143,0.0001165714285714381,0.0008207521549773857,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-07T20:23:59.999000,2025-12-07T20:30:59.999000,LONG,0.14215,0.142176,2.5999999999998247e-05,0.0001829053816391013,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-07T23:42:59.999000,2025-12-07T23:47:59.999000,SHORT,0.13772,0.13797457142857145,-0.00025457142857143733,-0.0018484710178001548,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T02:55:59.999000,2025-12-08T02:55:59.999000,LONG,0.14042,0.14053285714285715,0.00011285714285716453,0.0008037113150346427,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T03:21:59.999000,2025-12-08T03:25:59.999000,LONG,0.14053,0.14070196428571427,0.00017196428571428224,0.0012236838092527023,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-08T03:44:59.999000,2025-12-08T03:46:59.999000,SHORT,0.14017,0.140341,-0.00017100000000000448,-0.0012199472069630056,hit_stop_loss_intrabar,1.0
